Period,Total,Price Band,percentage
2005Q3 ,100,"$199,999 - $249,999",14
2005Q4 ,100,"$199,999 - $249,999",17
2006Q1 ,100,"$199,999 - $249,999",15
2006Q2 ,100,"$199,999 - $249,999",15
2006Q3 ,100,"$199,999 - $249,999",16
2006Q4 ,100,"$199,999 - $249,999",15
2007Q1 ,100,"$199,999 - $249,999",16
2007Q2 ,100,"$199,999 - $249,999",16
2007Q3 ,100,"$199,999 - $249,999",17
2007Q4 ,100,"$199,999 - $249,999",16
2008Q1 ,100,"$199,999 - $249,999",19
2008Q2 ,100,"$199,999 - $249,999",17
2008Q3 ,100,"$199,999 - $249,999",18
2008Q4 ,100,"$199,999 - $249,999",18
2009Q1 ,100,"$199,999 - $249,999",17
2009Q2 ,100,"$199,999 - $249,999",18
2009Q3 ,100,"$199,999 - $249,999",17
2009Q4 ,100,"$199,999 - $249,999",19
2010Q1 ,100,"$199,999 - $249,999",16
2010Q2 ,100,"$199,999 - $249,999",17
2010Q3 ,100,"$199,999 - $249,999",18
2010Q4 ,100,"$199,999 - $249,999",15
2011Q1 ,100,"$199,999 - $249,999",20
2011Q2 ,100,"$199,999 - $249,999",19
2011Q3 ,100,"$199,999 - $249,999",20
2011Q4 ,100,"$199,999 - $249,999",20
2012Q1 ,100,"$199,999 - $249,999",19
2012Q2 ,100,"$199,999 - $249,999",19
2012Q3 ,100,"$199,999 - $249,999",18
2012Q4 ,100,"$199,999 - $249,999",18
2013Q1 ,100,"$199,999 - $249,999",18
2013Q2 ,100,"$199,999 - $249,999",18
2013Q3 ,100,"$199,999 - $249,999",16
2013Q4 ,100,"$199,999 - $249,999",16
2014Q1 ,100,"$199,999 - $249,999",17
2014Q2 ,100,"$199,999 - $249,999",16
2014Q3 ,100,"$199,999 - $249,999",15
2014Q4 ,100,"$199,999 - $249,999",15
2015Q1 ,100,"$199,999 - $249,999",18
2015Q2 ,100,"$199,999 - $249,999",16
2015Q3 ,100,"$199,999 - $249,999",16
2015Q4 ,100,"$199,999 - $249,999",17
2016Q1 ,100,"$199,999 - $249,999",14
2016Q2 ,100,"$199,999 - $249,999",15
2016Q3 ,100,"$199,999 - $249,999",15
2016Q4 ,100,"$199,999 - $249,999",16
2017Q1 ,100,"$199,999 - $249,999",15
2017Q2 ,100,"$199,999 - $249,999",17
2017Q3 ,100,"$199,999 - $249,999",15
2017Q4 ,100,"$199,999 - $249,999",15
2018Q1 ,100,"$199,999 - $249,999",14
2018Q2 ,100,"$199,999 - $249,999",14
2018Q3 ,100,"$199,999 - $249,999",16
2018Q4 ,100,"$199,999 - $249,999",16
2019Q1 ,100,"$199,999 - $249,999",18
2019Q2 ,100,"$199,999 - $249,999",17
2019Q3 ,100,"$199,999 - $249,999",17
2019Q4 ,100,"$199,999 - $249,999",16
2020Q1 ,100,"$199,999 - $249,999",17
2020Q2 ,100,"$199,999 - $249,999",15
2020Q3 ,100,"$199,999 - $249,999",14
2020Q4 ,100,"$199,999 - $249,999",11
2021Q1 ,100,"$199,999 - $249,999",11
2021Q2 ,100,"$199,999 - $249,999",8
2021Q3 ,100,"$199,999 - $249,999",6
2021Q4 ,100,"$199,999 - $249,999",4
2022Q1 ,100,"$199,999 - $249,999",3
2022Q2 ,100,"$199,999 - $249,999",2
2022Q3 ,100,"$199,999 - $249,999",2
2022Q4 ,100,"$199,999 - $249,999",2
2023Q1 ,100,"$199,999 - $249,999",4
2023Q2 ,100,"$199,999 - $249,999",5
2023Q3 ,100,"$199,999 - $249,999",4
2002Q1 ,100,"$249,999 - $299,999",11
2002Q2 ,100,"$249,999 - $299,999",11
2002Q3 ,100,"$249,999 - $299,999",10
2002Q4 ,100,"$249,999 - $299,999",11
2003Q1 ,100,"$249,999 - $299,999",10
2003Q2 ,100,"$249,999 - $299,999",9
2003Q3 ,100,"$249,999 - $299,999",10
2003Q4 ,100,"$249,999 - $299,999",10
2004Q1 ,100,"$249,999 - $299,999",11
2004Q2 ,100,"$249,999 - $299,999",11
2004Q3 ,100,"$249,999 - $299,999",9
2004Q4 ,100,"$249,999 - $299,999",11
2005Q1 ,100,"$249,999 - $299,999",11
2005Q2 ,100,"$249,999 - $299,999",12
2005Q3 ,100,"$249,999 - $299,999",11
2005Q4 ,100,"$249,999 - $299,999",13
2006Q1 ,100,"$249,999 - $299,999",14
2006Q2 ,100,"$249,999 - $299,999",13
2006Q3 ,100,"$249,999 - $299,999",11
2006Q4 ,100,"$249,999 - $299,999",13
2007Q1 ,100,"$249,999 - $299,999",14
2007Q2 ,100,"$249,999 - $299,999",13
2007Q3 ,100,"$249,999 - $299,999",14
2007Q4 ,100,"$249,999 - $299,999",11
2008Q1 ,100,"$249,999 - $299,999",14
2008Q2 ,100,"$249,999 - $299,999",13
2008Q3 ,100,"$249,999 - $299,999",12
2008Q4 ,100,"$249,999 - $299,999",13
2009Q1 ,100,"$249,999 - $299,999",13
2009Q2 ,100,"$249,999 - $299,999",13
2009Q3 ,100,"$249,999 - $299,999",12
2009Q4 ,100,"$249,999 - $299,999",13
2010Q1 ,100,"$249,999 - $299,999",15
2010Q2 ,100,"$249,999 - $299,999",12
2010Q3 ,100,"$249,999 - $299,999",15
2010Q4 ,100,"$249,999 - $299,999",11
2011Q1 ,100,"$249,999 - $299,999",12
2011Q2 ,100,"$249,999 - $299,999",14
2011Q3 ,100,"$249,999 - $299,999",13
2011Q4 ,100,"$249,999 - $299,999",13
2012Q1 ,100,"$249,999 - $299,999",15
2012Q2 ,100,"$249,999 - $299,999",13
2012Q3 ,100,"$249,999 - $299,999",14
2012Q4 ,100,"$249,999 - $299,999",14
2013Q1 ,100,"$249,999 - $299,999",16
2013Q2 ,100,"$249,999 - $299,999",16
2013Q3 ,100,"$249,999 - $299,999",15
2013Q4 ,100,"$249,999 - $299,999",15
2014Q1 ,100,"$249,999 - $299,999",15
2014Q2 ,100,"$249,999 - $299,999",15
2014Q3 ,100,"$249,999 - $299,999",16
2014Q4 ,100,"$249,999 - $299,999",16
2015Q1 ,100,"$249,999 - $299,999",17
2015Q2 ,100,"$249,999 - $299,999",18
2015Q3 ,100,"$249,999 - $299,999",15
2015Q4 ,100,"$249,999 - $299,999",16
2016Q1 ,100,"$249,999 - $299,999",18
2016Q2 ,100,"$249,999 - $299,999",16
2016Q3 ,100,"$249,999 - $299,999",16
2016Q4 ,100,"$249,999 - $299,999",15
2017Q1 ,100,"$249,999 - $299,999",16
2017Q2 ,100,"$249,999 - $299,999",16
2017Q3 ,100,"$249,999 - $299,999",14
2017Q4 ,100,"$249,999 - $299,999",15
2018Q1 ,100,"$249,999 - $299,999",15
2018Q2 ,100,"$249,999 - $299,999",18
2018Q3 ,100,"$249,999 - $299,999",15
